Ticker,Name
^INDIA15,India Total Return ADR/GDR 15 I
INUS7.NX,
D4OF.DE,INAVISHEUGBD1-3YRGB
^NQAU5000CADT,NASDAQ Australia Cnsmr Svcs CAD
V1I5.DE,
RTXNRGEUR.VI,
^NQIN8000AUDT,NASDAQ India Financials AUD TR
^BCOMAL3,BBG Alumin-F3
SAN71Y.SW,SBI Dom Non-Gov AAA-AA 7-10 Y
STA05P.SW,SBI AAA-A 10-15 P
DV2E.DE,
^A1SUSETR,Dow Jones Sustainability North
^NQAU9000N,The NASDAQ Australia Technology
^NQNA2300N,The NASDAQ North America Constr
^NQEMMEA4000AUDN,NASDAQ EM MEA Health Care AUD N
^NQASPA3000AUDT,NASDAQ ASPA Cnsmr Goods AUD TR
^NQZASCZARN,NASDAQ South Africa Small Cap Z
^NQDMASPA7000N,The NASDAQ DM ASPA Utilities In
SAA10Y.SW,SBI AAA-AA 10+ Y
^NQUSM2000AUD,NQ US Md Cap Inds AUD Index
SBIGD7.SW,SBI Dom Gov 7+ D
^NQNA8000EURN,NASDAQ N America Financials EUR
^NQDMASIA8600LMT,NASDAQ DM Asia Real Estate Larg
SBIGT1.SW,SBI Dom Gov 1-3 T
^NQHK3000AUDN,NASDAQ Hong Kong Cnsmr Goods AU
D8AF.DE,
2742.DE,INAVISIBSE18USDCGBP
^BKCPTTR,BNY Mellon Portugal Classic ADR
UDYQ.DE,UDYQ.DE
4NAN.DE,DAXSUP ALL UTIL P
^NQCHLCAUD,NASDAQ Switzerland Large Cap AU
^DWAPFN,Dow Jones Asia/Pacific Financia
ASX8350.L,
3BSF.DE,DAXGL.CH.AL.EN+ENV.PR.USD
^NQNA2000CADN,NASDAQ N America Inds CAD NTR I
^NQEMEU3300CAD,NASDAQ EM Europe Auto & Parts C
^YHOH800,^YHOH800
SFC12T.SW,SBI For Corp AAA-AA T
^NQUSB3747AUDN,NQ US Bnchmk Toys AUD NTR Index
^NQDMASPA2300LMN,NASDAQ DM ASPA Constr & Matls L
RNEL.FGI,
^NQASPA2300AUD,NASDAQ ASPA Constr & Matls AUD
^NQDMASIA1700LMN,NASDAQ DM Asia Basic Resources
^NQLA7000CAD,NASDAQ Lat America Utilities CA
^NQPLLMAUDT,NASDAQ Poland Large Mid Cap AUD
^NQCI3ACER,NASDAQ Commodity 3rd Front Agri
WIPACXJA3350.FGI,
^NQZA8000LMJPYN,NASDAQ South Africa Financials
^NQNAMCAUD,NASDAQ N America Mid Cap AUD In
^DJAU,Dow Jones Australia Index
^SPAU23,S&P Pan Asia BMI Real Estate (U
^NQDMASPASCCADT,NASDAQ DM ASPA Small Cap CAD TR
SATXEUR.VI,
^NQEM0001AUDN,NASDAQ Emerging Oil & Gas AUD N
WIAMERS9530.FGI,
^NQLA3000LMEUR,NASDAQ Lat Am Cnsmr Goods Lg Md
^NQAT8000N,The NASDAQ Austria Financials I
^NQUSS5370AUDN,NQ US Sm Cap General Rtlrs AUD
4465.DE,
^NQZASCGBPN,NASDAQ South Africa Small Cap G
^NQNA1000LMJPY,NASDAQ N America Basic Matls Lg
^DJCIAC,Dow Jones Commodity Index All C
^NQDMASPA8300N,The NASDAQ DM ASPA Banks Indexe
3BQ6.DE,DAXGL CHINA EUR P
^DJCIAWT,Dow Jones Commodity Index All W
^SP500-30202010,S&P 500 Agricultural Products (
D1AH.DE,ENTRY ALL SHS IND P
^NQEMASIA5700CADN,NASDAQ EM Asia Travel & Leisure
KRXSECTOR-9.KS,
^NQNA2700LMJPY,NASDAQ N America Ind Goods&Svcs
^NQNA1000EURT,NASDAQ N America Basic Matls EU
CECEMUSD.VI,
